CowTimeLoc,Sequencing.File.Name,Cow,GWAS_Timepoint,Location,Sample.Type,PARITY,DIM,parity.group,SampleType_Parity,Darkness,Milk7d_T1,Milk_Tier,STAGE,PARITY.GROUP,Parity.Stage,Sequence Counts,dateTrial_recent,milkE_1,DMI_recent,rfi_recent,GFE
8536_1_ARS,Swab1-179,8536,1,ARS,Swab,3,225,Multi,Swab_Multi,0.4126914,74.9,Mid,Late,Third,Third.Late,17883,,,,,
8889_1_ARS,Swab1-180,8889,1,ARS,Swab,1,199,First,Swab_First,0.4048024,88.5,Mid,Middle,First,First.Middle,19028,,,,,
109_1_ARS,Swab1-181,109,1,ARS,Swab,1,87,First,Swab_First,0.4439318,77.9,Mid,Early,First,First.Early,20772,,,,,
8870_1_ARS,Swab1-182,8870,1,ARS,Swab,2,190,Second,Swab_Second,0.3629318,104,Mid,Middle,Second,Second.Middle,16300,,,,,
8879_1_ARS,Swab1-183,8879,1,ARS,Swab,2,203,Second,Swab_Second,0.4498267,77.3,Mid,Late,Second,Second.Late,16769,,,,,
8793_1_ARS,Swab1-184,8793,1,ARS,Swab,1,297,First,Swab_First,0.3937792,71.1,Mid,Late,First,First.Late,20609,,,,,
8888_1_ARS,Swab1-185,8888,1,ARS,Swab,1,193,First,Swab_First,0.4290239,70.6,Mid,Middle,First,First.Middle,21483,,,,,
104_1_ARS,Swab1-186,104,1,ARS,Swab,1,87,First,Swab_First,0.3789824,77,Mid,Early,First,First.Early,17706,,,,,
8682_1_ARS,Swab1-187,8682,1,ARS,Swab,1,375,First,Swab_First,0.4195075,90.1,Mid,Late,First,First.Late,21807,,,,,
8230_1_ARS,Swab1-191,8230,1,ARS,Swab,3,180,Multi,Swab_Multi,0.4023357,85.1,Mid,Middle,Third,Third.Middle,31932,,,,,
8567_1_ARS,Swab1-192,8567,1,ARS,Swab,2,173,Second,Swab_Second,0.3757294,97.9,Mid,Middle,Second,Second.Middle,23440,,,,,
8560_1_ARS,Swab1-194,8560,1,ARS,Swab,3,151,Multi,Swab_Multi,0.3851776,106,Mid,Middle,Third,Third.Middle,20956,8/26/2019,25.9,29.5,-1.1,1.1724138
8213_1_ARS,Swab1-196,8213,1,ARS,Swab,3,188,Multi,Swab_Multi,0.3732765,89.4,Mid,Middle,Third,Third.Middle,25084,,,,,
8196_1_ARS,Swab1-197,8196,1,ARS,Swab,3,168,Multi,Swab_Multi,0.3553643,110,High,Middle,Third,Third.Middle,30977,8/26/2019,34.2,30.3,-0.7,1.1333333
8577_1_ARS,Swab1-202,8577,1,ARS,Swab,3,114,Multi,Swab_Multi,0.5049204,112,High,Middle,Third,Third.Middle,51021,,,,,
8017_1_ARS,Swab1-203,8017,1,ARS,Swab,3,259,Multi,Swab_Multi,0.4328255,81.7,Mid,Late,Third,Third.Late,35253,,,,,
8584_1_ARS,Swab1-205,8584,1,ARS,Swab,2,164,Second,Swab_Second,0.3597792,89.9,Mid,Middle,Second,Second.Middle,25155,8/26/2019,30.4,28.5,-0.1,1.0714286
8231_1_ARS,Swab1-206,8231,1,ARS,Swab,3,172,Multi,Swab_Multi,0.4388302,94.3,Mid,Middle,Third,Third.Middle,19651,,,,,
8540_1_ARS,Swab1-207,8540,1,ARS,Swab,2,184,Second,Swab_Second,0.3890063,108,Mid,Middle,Second,Second.Middle,22410,8/26/2019,29.7,30.6,0.9,0.9666667
